inventor_id,name,country
fl:sh_ln:minegishi-3,Shinichiro Minegishi,JP
fl:ti_ln:kentleyklay-1,Timothy David Kentley-Klay,US
fl:de_ln:choi-4,Deok Kwan Choi,KR
fl:an_ln:schamel-1,Andreas R. Schamel,DE
fl:ed_ln:jih-1,Edward Chan-Jiun Jih,US
fl:mi_ln:degner-1,Michael W. Degner,US
fl:gu_ln:lei-10,Guangyin Lei,US
fl:xu_ln:wang-191,Xu Wang,CN
fl:ch_ln:outwater-1,Chris Outwater,US
fl:wi_ln:redmann-1,William Gibbens Redmann,US
fl:ka_ln:lovett-2,Karin Lovett,US
fl:br_ln:dunlap-4,Brock Dunlap,US
fl:wi_ln:treharne-1,William David Treharne,US
fl:br_ln:bolger-2,Bryan Michael Bolger,US
fl:qi_ln:yuan-55,Qingmin Yuan,CN
fl:ma_ln:mcnally-9,Mark McNally,GB
fl:wi_ln:mansur-1,William Najib Mansur,US
fl:ma_ln:malone-2,Mark Douglas Malone,US
fl:be_ln:dalrymple-1,Beth Ann Dalrymple,US
fl:da_ln:roberts-7,Daniel Paul Roberts,US
fl:ni_ln:keeling-1,Nicholas Athol Keeling,DE
fl:fe_ln:weidner-1,Felix Weidner,DE
fl:je_ln:white-43,Jeff C. WHITE,CA
fl:ch_ln:mi-13,Chris Mi,US
fl:we_ln:zhang-155,Wei Zhang,US
fl:sh_ln:yoshida-64,Shigeyuki Yoshida,JP
fl:yo_ln:fukushima-28,Yoshitake Fukushima,JP
fl:ma_ln:konno-18,Masaki Konno,JP
fl:so_ln:noh-6,Soung Han Noh,KR
fl:yo_ln:jang-67,Young Jin Jang,KR
fl:ju_ln:park-79,Jun Yeon Park,KR
fl:hy_ln:kang-190,Hyung Souk Kang,KR
fl:to_ln:inoue-46,Tomohiro Inoue,JP
fl:to_ln:masuda-34,Tomokazu Masuda,JP
fl:hi_ln:tanaka-57,Hisashi Tanaka,JP
fl:so_ln:jeon-15,Soonil Jeon,KR
fl:yo_ln:kum-2,Youngbum Kum,KR
fl:na_ln:lee-94,Namwoo Lee,KR
fl:sa_ln:kim-515,Saehoon KIM,KR
fl:ju_ln:kim-557,Juhan Kim,KR
fl:su_ln:kim-456,Sung Do Kim,KR
fl:do_ln:lee-258,Dong Hun Lee,KR
fl:mi_ln:kang-35,Min Su Kang,KR
fl:se_ln:ryu-161,Seong Pil Ryu,KR
fl:ky_ln:lee-352,Kyu Il Lee,KR
fl:se_ln:kim-269,Seon Hak Kim,KR
fl:ge_ln:davis-46,George Davis,US
fl:ch_ln:linnel-1,Christopher Linnel,US
fl:cl_ln:zamorano-1,Claudio Zamorano,CL
fl:cr_ln:junge-1,Cristián Junge,CL
fl:be_ln:vera-2,Bernardo Vera,CL
fl:an_ln:flores-6,Antonio Flores,CL
fl:ma_ln:woods-18,Mark C. Woods,US
fl:ma_ln:woods-13,Matthew Woods,US
fl:ry_ln:vipond-1,Ryan Robert Vipond,CA
fl:da_ln:desrochers-4,Dayna Rae Desrochers,US
fl:mi_ln:haynes-1,Mike Haynes,US
fl:hi_ln:takaguchi-3,Hiroyuki Takaguchi,JP
fl:sa_ln:kikuchi-16,Satoshi Kikuchi,JP
fl:ta_ln:muramatsu-14,Takao Muramatsu,JP
fl:ch_ln:dubosc-1,Christophe Dubosc,FR
fl:je_ln:rubenstein-3,Jeffrey M. Rubenstein,US
fl:ro_ln:scalea-1,Robert S. Scalea,US
fl:te_ln:misu-1,Teruhisa Misu,US
fl:ma_ln:ghneim-1,Maher Ghneim,US
fl:st_ln:schondorf-1,Steven Yellin Schondorf,US
fl:jo_ln:schrepfer-2,Joerg Schrepfer,DE
fl:ch_ln:koetje-1,Christopher R. Koetje,US
fl:ev_ln:fischer-3,Evan Roger Fischer,US
fl:ro_ln:darrow-1,Rob Darrow,US
fl:ar_ln:sakarian-1,Artur Sakarian,US
fl:jo_ln:greiner-8,Joshua Greiner,US
fl:ry_ln:welch-4,Ryan Welch,US
fl:kr_ln:hellman-1,Kristin Ann Hellman,US
fl:an_ln:huebner-1,Annette Lynn Huebner,US
fl:go_ln:michie-1,Gordon Michie,CA
fl:je_ln:aftanas-1,Jeffrey M. Aftanas,US
fl:ge_ln:gomes-4,Gerald J. Gomes,US
fl:mi_ln:presley-1,Michael J. Presley,US
fl:dr_ln:stojkovic-1,Dragan B. Stojkovic,US
fl:jo_ln:hemphill-2,Joshua Robert Hemphill,US
fl:ju_ln:noh-24,Jung Uk Noh,KR
fl:yo_ln:kim-996,Youngkyu Kim,KR
fl:jo_ln:park-371,Jong Suh Park,KR
fl:an_ln:kuehnle-1,Andreas U. Kuehnle,US
fl:fe_ln:du-13,Feng Du,CA
fl:ja_ln:wisnia-1,Jack Wisnia,CA
fl:th_ln:reed-15,"Thomas Inard Reed, III",US
fl:th_ln:hlubina-1,Thierry Hlubina,FR
fl:ch_ln:delord-2,Christian Delord,FR
fl:yu_ln:kasuya-11,Yuji Kasuya,JP
fl:no_ln:matsumoto-15,Noboru Matsumoto,JP
fl:di_ln:reichow-1,Dirk Reichow,DE
fl:to_ln:galli-1,Tobias Galli,DE
fl:ke_ln:choi-9,Kee Hoon Choi,KR
fl:jo_ln:nilsson-12,Johan Nilsson,SE
fl:su_ln:bhattacharjee-16,Sudip Sankar Bhattacharjee,US
fl:ra_ln:rethinam-2,Ray Hari Manala Rethinam,US
fl:st_ln:pingston-1,Stephen Noel Pingston,US
fl:mo_ln:shenaq-1,Mohammed Shenaq,US
fl:al_ln:gurghian-1,Alexandru Mihai Gurghian,US
fl:sc_ln:myers-2,Scott Vincent Myers,US
fl:mo_ln:ahmad-21,Mohamed Ahmad,US
fl:li_ln:scaria-1,Lisa Scaria,US
fl:yu_ln:sato-33,Yuji Sato,JP
fl:ma_ln:okuhara-4,Masaaki Okuhara,JP
fl:ko_ln:kawamura-12,Koji Kawamura,JP
fl:ta_ln:hiraiwa-2,Takuya Hiraiwa,JP
fl:je_ln:coon-4,Jeffery Coon,US
fl:ch_ln:curtis-10,Chris Curtis,DE
fl:uw_ln:buelow-1,Uwe Buelow,DE
fl:ma_ln:boeddeker-2,Martina Boeddeker,DE
fl:mi_ln:goesch-1,Michael Goesch,DE
fl:eu_ln:riesen-1,Eugen Riesen,DE
fl:fe_ln:haenel-1,Felix Haenel,DE
fl:ru_ln:mihm-1,Russell Joseph Mihm,US
fl:os_ln:fukawatase-1,Osamu Fukawatase,JP
fl:at_ln:nakashima-4,Atsushi Nakashima,JP
fl:sh_ln:hayakawa-19,Shinji Hayakawa,JP
fl:ka_ln:abe-47,Kazuhiro Abe,JP
fl:ya_ln:miyata-13,Yasuhito Miyata,JP
fl:na_ln:higashimachi-1,Naoya Higashimachi,JP
fl:eu_ln:kim-138,Eungjoo Kim,KR
fl:ma_ln:matsuzaki-15,Makoto Matsuzaki,JP
fl:ko_ln:hayashi-25,Koji Hayashi,JP
fl:ma_ln:mages-3,Mark Mages,DE
fl:to_ln:umakoshi-2,Tomonari Umakoshi,JP
fl:ta_ln:saito-10,Takuhiro Saito,JP
fl:yu_ln:nagata-20,Yuya Nagata,JP
fl:ta_ln:osaki-14,Takahiro Osaki,JP
fl:do_ln:seitzer-1,Dominik Seitzer,DE
fl:mi_ln:kacprzak-2,Michal Kacprzak,DE
fl:pa_ln:gorecki-1,Pawel Gorecki,PL
fl:ra_ln:eljawahri-1,Raed Essa EL-Jawahri,US
fl:ma_ln:rao-32,Manoharprasad K. Rao,US
fl:ji_ln:le-6,Jialiang Le,US
fl:ro_ln:mccoy-3,Robert William McCoy,US
fl:hi_ln:kurata-11,Hiroyuki Kurata,JP
fl:yo_ln:hamada-15,Yoshihiro Hamada,JP
fl:ma_ln:summer-1,Matthew D. Summer,US
fl:pa_ln:bosscher-1,Paul M. Bosscher,US
fl:ja_ln:zimmerman-12,Jay Paul Zimmerman,US
fl:so_ln:tamura-1,So TAMURA,JP
fl:mi_ln:hoshi-3,Mitsuaki Hoshi,JP
fl:ko_ln:katahira-5,Kousuke Katahira,JP
fl:ge_ln:wuerth-1,Gebhard Wuerth,DE
fl:vo_ln:mehl-1,Volker Mehl,DE
fl:we_ln:quirant-1,Werner Quirant,DE
fl:mi_ln:kunz-4,Michael Kunz,DE
fl:ma_ln:leiblein-1,Matthias Leiblein,DE
fl:su_ln:jin-20,Sung Ho Jin,KR
fl:ch_ln:jeong-3,Choong Pyo Jeong,KR
fl:ke_ln:lee-171,Kel Seh Lee,KR
fl:do_ln:shin-36,Dong Hwan Shin,KR
fl:se_ln:lee-134,Seong Hun Lee,KR
fl:sa_ln:han-66,Sang Soo Han,KR
fl:ma_ln:bennett-22,Mark A. Bennett,US
fl:ju_ln:fujita-8,Junya Fujita,JP
fl:et_ln:watarai-1,Etsuyoshi Watarai,JP
fl:mi_ln:tauchi-1,Mitsuru Tauchi,JP
fl:gw_ln:du-2,Gwang Il Du,KR
fl:te_ln:cho-4,Teh Hwan Cho,KR
fl:je_ln:huh-13,Jee Wook Huh,KR
fl:pr_ln:muralidhar-1,Praveen Chitradurga Muralidhar,US
fl:ar_ln:thungagopal-1,Arun Prakash Thunga Gopal,US
fl:su_ln:varigonda-1,Subbarao Varigonda,US
fl:ja_ln:leonarski-1,Jaroslaw Leonarski,US
fl:vi_ln:sujan-2,Vivek A. Sujan,US
fl:ma_ln:funahashi-5,Makoto Funahashi,JP
fl:sh_ln:oya-4,Shojiro Oya,JP
fl:ko_ln:watanabe-31,Koichi Watanabe,JP
fl:yo_ln:suzuki-19,Yosuke Suzuki,JP
fl:se_ln:nobuyasu-1,Seitaro Nobuyasu,JP
fl:yu_ln:oshiro-3,Yuta Oshiro,JP
