company_id,name
ad7af80f-fd53-482d-b38a-fc23e03332b4,DAEGU GYEONGBUK INSTITUTE OF SCIENCE AND TECHNOLOGY
0c366465-e38a-4f8c-9292-e33ea65142e2,MANDOM CORPORATION
222264bc-5220-40eb-8a6e-a2d1088af14f,SHIMANO INC.
e7dc6a46-5a07-45ec-87b6-8a113ab02e99,Cummins Inc.
761899f6-0ac9-4937-8574-812df5d3ab00,BYD COMPANY LIMITED
97ed5df6-7345-49c0-b1b8-42a1ec75baf1,Waymo LLC
8120eeec-8a92-4590-95af-4cb6f59aee0f,Yahoo Japan Corporation
dae969ca-adf7-4da5-b74e-bd7f282a5e40,KES Keschwari Electronic Systems GmbH & Co. KG
40f7bea0-f776-45ca-819d-da1b334c84f3,Macton Corporation
ab16fe16-98b3-4d1c-9f4b-73980a1d118c,LOCKHEED MARTIN CORPORATION
093f35cb-2361-4acc-a8e4-a1b40112a5d1,"Tech Services Group, LLC"
97fe15c7-7a44-42f5-a7c3-3779aed26e91,NETZCH-Feinmahltechnik GmbH
dc178941-f35e-430d-968a-68bf72a27607,"KIDS II, INC."
65d93b64-cd51-4b38-8e27-44220f3a333c,WONDERLAND SWITZERLAND AG
0276feee-c989-4a65-998e-7099a0e80785,NSK LTD.
f8a675d6-b165-4331-b7b4-0d5d520ee462,"Yamada Manufacturing Co., Ltd."
93171645-3a55-48c7-b2d0-9e5c1d3a1a74,"FUJI KIKO CO., LTD."
c51bb3a2-f656-4229-9294-3320111781d5,nan
2893052b-d06d-43fd-8718-414fd0b190b0,THYSSENKRUPP PRESTA AG
dd402f86-45f1-4eb4-9298-8074d3a0c434,thyssenkrupp AG
f0d69823-17b7-4154-a98a-7ff25c89592b,JTEKT CORPORATION
89a8ed8d-dcaa-46eb-93fd-e8b6fed97f68,Steering Solutions IP Holding Corporation
2666ac0d-d5ad-4346-97de-acec7e230a94,KSM Castings Group GmbH
b94e5b04-59ec-4ba1-b0bf-39ad49e3428b,HYUNDAI TRANSLEAD
bd07bae1-0654-4ee9-9519-b109499f1898,Wacker Nueson Production Americas LLC
f51e537f-a4eb-45c5-b179-44ce918d4e16,"Wall Global, LLC."
8bf34cb9-024e-465b-8b08-bd89d90682ad,Röchling Automotive SE & Co. KG
3006c550-af04-49a6-be94-e08c33fee287,Joy Global Underground Mining LLC
b527909c-4c06-4196-a8f5-3d0c3301fb69,Schaft Inc.
524a078f-e500-4085-ab09-6d82ec85b864,YAMAHA HATSUDOKI KABUSHIKI KAISHA
67927c92-2fb0-4910-8040-5fcdf6334aea,KAWASAKI JUKOGYO KABUSHIKI KAISHA
871114e5-4449-4086-9a7a-1b9bf3e0f21c,"BRIGHAMFLOATS, LLC"
4291f292-35e3-425b-b78e-2b3e17385fdb,Birdon (UK) Limited
06feda91-b317-4433-b6ec-bc9852149c1b,UTEC Geomarine Limited
46a62846-d998-4852-a31f-5e865ef5fa36,"Hadal, Inc."
3344a94c-ed9c-4eef-bed6-4db204c76ba8,NIPPON YUSEN KABUSHIKI KAISHA
7d5947ad-5e45-497a-9c0f-ad44e5d2861e,ELTA SYSTEMS LTD.
f6c7988b-2a2d-4e38-98e7-e00ac589a5d0,"MRV Systems, LLC"
b4ec4fdd-ad18-4e9c-b28c-a5ff1b10959e,Brunswick Corporation
cb3e4fb0-80fb-4110-8684-4b563c54eee5,"Furuno Electric Co., Ltd."
d79a06a7-fbdc-4bbe-b42b-acf5f1c90544,SOLVAY SPECIALTY POLYMERS ITALY S.P.A.
2ec64109-bf39-4cbf-9442-3b422c227975,Airbus SAS
710b4e0c-73ab-4c3e-a4d7-634e18a3041c,MECAER AVIATION GROUP S.P.A.
5211a637-a7c4-4080-9d63-e1e7fd8306aa,AIRBUS (BEIJING) ENGINEERING CENTRE COMPANY LIMITED
20b2503c-621c-4bd8-9273-400eb5b60e38,SAFRAN ELECTRONICS & DEFENSE
26660a93-f557-464d-a14f-35dfb41cad86,SAFRAN LANDING SYSTEMS
e6c47bb5-1ef6-4293-b853-afad0b4e8a13,GOODRICH CORPORATION
7e4a8819-619c-4224-b780-01611cf4ae18,Beringer Aero
62e9f5ad-a914-451e-b056-8de4e9d3f8b7,AIRBUS HELICOPTERS
aacb4343-7f79-49ed-b545-6adfc3f39c2e,SAFRAN LANDING SYSTEMS UK LTD.
ee19b405-e8a2-4bfe-8aa1-9f8fe50d3be7,"Amazon Technologies, Inc."
7e0091d0-3a24-43b4-b250-f7a0049ecb80,X Development LLC
7cac4f5f-80c1-4f7f-b74e-17aa91e4ad03,"C&D ZODIAC, INC."
79b7e1b7-26f6-4881-bffc-f8ab73102a2c,"B/E AEROSPACE, INC."
76b79e1b-95a7-4b16-b2a4-e6c64a1c334b,Senior IP GmbH
b904f566-62d6-44a5-8689-7b5c5a3a1a19,General Electric Company
d67a2671-7ba2-4525-a2b4-c52e054ace9a,HAMILTON SUNDSTRAND CORPORATION
1b7df2b5-6ba8-45e7-978f-a91d69bf49be,HONEYWELL INTERNATIONAL INC.
8594bcb1-45a8-4fb0-9491-81e88f7a478e,AIRBUS DS GMBH
7fce9e9e-dff7-4d40-9f87-35d29249359a,Altria Client Services LLC
c5602ed1-50d4-4ebd-87b5-150e0997b172,"Direct Pack, Inc."
6d57574a-aff9-4375-8781-79bd87aa1d06,The General Hospital Corporation
b732b2a1-190c-44ba-b24c-685ff9e4ef90,ILLINOIS TOOL WORKS INC.
754f7b41-7838-44a2-8142-f6f4f59425cb,NORTH ZION MANAGEMENT LLC
3bfeb832-4c94-42b8-90e0-bcfb56eb7bc4,SIDEL SPA
3f883863-0fe5-4718-9a66-0497c0e69d41,"Selig Sealing Products, Inc."
bfa3f832-81c5-41b3-9e04-cc80ac33ff87,Obschestvo s ogranichennoi otvetstvenostju “Mistral Alko”
559a46d3-95cf-4fb9-9398-c3200f25ba9b,Frugalpac Limited
c8e7fb2c-9f2a-40fb-bc49-ee60e8c5b672,HOFFMANN NEOPAC AG
c48f1e01-dd3b-4e68-bc26-fa4a8c2c7c1a,Ardagh MP Group Netherlands B.V.
7c01c518-472b-465d-9936-cac4714b2ef8,HYDAC TECHNOLOGY GMBH
d529987e-1cd9-4a30-ae1a-284ec1d6bfad,Polymer Solutions International Inc.
8eb00c93-9cd7-4da7-9dae-7fa84fbbd6f0,"Bemis Associates, Inc."
108df34e-1b79-4d31-b811-4508bd33dfb7,"MUPACK OZAKI CO., LTD."
7fbc4fa8-159b-4592-9e69-f7ec996b89eb,"BARTON GROUP, INC."
605c514d-5acc-4c4e-9bd1-69d8b96eaee4,Rehrig Pacific Company
